time_period_start;time_period_end;time_open;time_close;price_open;price_high;price_low;price_close;volume_traded;trades_count
2022-03-11T01:00:00.0000000Z;2022-03-11T01:05:00.0000000Z;2022-03-11T01:00:21.9330000Z;2022-03-11T01:04:54.9140000Z;39328.000000000;39345.000000000;39079.000000000;39099.000000000;23.848312930;383
2022-03-11T01:05:00.0000000Z;2022-03-11T01:10:00.0000000Z;2022-03-11T01:05:02.3010000Z;2022-03-11T01:09:52.9350000Z;39088.000000000;39169.000000000;38914.000000000;39125.132569620;50.694857050;580
2022-03-11T01:10:00.0000000Z;2022-03-11T01:15:00.0000000Z;2022-03-11T01:10:01.0090000Z;2022-03-11T01:14:45.9810000Z;39135.217185660;39135.217185660;38991.000000000;39033.000000000;8.054389880;249
2022-03-11T01:15:00.0000000Z;2022-03-11T01:20:00.0000000Z;2022-03-11T01:15:04.6290000Z;2022-03-11T01:19:45.3990000Z;39023.022010050;39083.000000000;38933.286431940;39041.118302650;42.657061570;542
2022-03-11T01:20:00.0000000Z;2022-03-11T01:25:00.0000000Z;2022-03-11T01:20:09.0860000Z;2022-03-11T01:24:59.1490000Z;39042.427177480;39072.000000000;38988.249213630;38989.000000000;7.618744710;177
2022-03-11T01:25:00.0000000Z;2022-03-11T01:30:00.0000000Z;2022-03-11T01:25:02.0670000Z;2022-03-11T01:29:59.2500000Z;38992.000000000;39013.000000000;38633.000000000;38719.000000000;45.320804480;677
2022-03-11T01:30:00.0000000Z;2022-03-11T01:35:00.0000000Z;2022-03-11T01:30:01.0170000Z;2022-03-11T01:34:56.3750000Z;38713.000000000;38789.000000000;38685.000000000;38769.000000000;12.152775470;132
2022-03-11T01:35:00.0000000Z;2022-03-11T01:40:00.0000000Z;2022-03-11T01:35:00.7730000Z;2022-03-11T01:39:55.1920000Z;38768.000000000;38919.000000000;38738.000000000;38861.703226320;6.495606430;171
2022-03-11T01:40:00.0000000Z;2022-03-11T01:45:00.0000000Z;2022-03-11T01:40:00.9080000Z;2022-03-11T01:44:59.2480000Z;38863.000000000;38912.000000000;38863.000000000;38912.000000000;8.513027990;99
2022-03-11T01:45:00.0000000Z;2022-03-11T01:50:00.0000000Z;2022-03-11T01:45:10.0730000Z;2022-03-11T01:49:59.6130000Z;38912.000000000;38921.030716260;38831.237358190;38841.000000000;35.856466570;353
