exchange_id,website,name,data_start,data_end,data_quote_start,data_quote_end,data_symbols_count,volume_1hrs_usd,volume_1day_usd,volume_1mth_usd
HANBITCO,https://www.hanbitco.com/,Hanbitco,2019-10-01,2021-03-15,2019-10-01T17:24:58.8944166Z,2021-03-15T13:45:16.9568093Z,13,0,0,0
EXTSTOCK,https://extstock.com/,ExtStock,2019-10-01,2021-08-01,2019-10-01T17:41:41.4274475Z,2021-08-01T09:00:00.2233333Z,120,0,0,0
TRADEIO,https://exchange.trade.io/,Trade.io,2018-10-09,2019-10-28,2019-04-08T15:29:00.9938327Z,2019-10-28T16:25:39.1165960Z,126,0,0,0
SATO,https://www.satoexchange.com/,SatoExchange,2020-05-05,2022-03-21,2020-05-05T13:18:58.0699561Z,2022-03-21T02:57:06.0275561Z,345,0,0,5530.36
BITASSET,https://www.bitasset.com/,BitAsset,2021-02-18,2021-04-14,2021-02-18T15:50:03.9251990Z,2021-04-14T16:32:05.0778377Z,276,0,0,0
TRADESATOSHI,https://tradesatoshi.com/,Trade Satoshi,2017-07-06,2020-02-22,2019-04-08T15:18:19.6286531Z,2020-02-22T01:31:17.2872442Z,1582,0,0,0
ABCC,https://abcc.com/,ABCC,2019-10-01,2022-03-21,2019-10-01T17:18:52.9628053Z,2022-03-21T06:15:01.9150774Z,124,0,0,0
COINEXCHANGE,https://www.coinexchange.io/,CoinExchange,2018-01-24,2019-12-04,2018-01-24T00:21:57.1628343Z,2019-12-04T03:12:24.7087885Z,1648,0,0,0
C2CX,https://www.c2cx.com/,C2CX,2019-04-08,2021-08-01,2019-04-08T15:17:57.0000000Z,2021-08-01T09:00:00.2233333Z,89,0,0,0
CROSSEXCHANGE,https://www.crossexchange.io,CROSS exchange,2020-05-05,2021-12-06,2020-05-05T13:01:30.7450935Z,2021-12-06T05:19:12.5404847Z,55,0,0,0
INSTANTBITEX,https://instantbitex.com/,Instant Bitex,2018-09-29,2020-01-20,2019-05-05T06:18:06.7114893Z,2020-01-17T16:29:08.8790150Z,292,0,0,0
HUOBIIND,https://www.huobi.com.co/,Huobi Indonesia,2020-05-05,2021-10-16,2020-05-05T00:00:00.0628272Z,2021-10-16T21:06:35.5557277Z,162,0,0,0
TIDEBIT,https://www.tidebit.com/,Tidebit,2019-10-01,2022-03-21,2019-10-01T17:28:35.1764139Z,2022-03-21T06:15:37.9040442Z,75,0,105985.85,8485684.72
LBANK,https://www.lbank.info/,LBank,2018-08-26,2022-03-21,2019-02-05T23:23:14.7624695Z,2022-03-21T06:15:31.8891294Z,1546,39497.39,11418281677090.6,123144861920828.84
UEX,https://www.uex.com/,UEX,2019-03-29,2019-04-30,2019-04-08T15:18:44.0210000Z,2019-04-30T15:42:48.2661048Z,3,0,0,0
BITEXLA,https://bitex.la/,Bitex.la,2019-04-08,2021-08-01,2019-04-08T15:29:16.9647231Z,2021-08-01T09:00:00.2233333Z,60,0,0,0
FTXUS,https://ftx.us/,FTX US,2021-08-27,2022-03-21,2021-08-27T12:23:08.9258617Z,2022-03-21T06:15:21.4477424Z,62,7332984.06,144694296.11,6105110586.78
